Backtrace (15 frames):
  #00 fp=0x802912c0 ra=0x8020e0ce
  #01 fp=0x80291460 ra=0x80218450
  #02 fp=0x80291490 ra=0x8021861a
  #03 fp=0x80291580 ra=0x80210456
  #04 fp=0x802915a0 ra=0x8020c52a
  #05 fp=0x80291630 ra=0x8020f604
  #06 fp=0x802916c0 ra=0x80209206
  #07 fp=0x80291740 ra=0x8020bf5a
  #08 fp=0x80291780 ra=0x80216dbe
  #09 fp=0x80291be0 ra=0x802142f8
  #10 fp=0x80291c30 ra=0x8020a4c2
  #11 fp=0x80291ce0 ra=0x8020ff0e
  #12 fp=0x80291da0 ra=0x8020619a
  #13 fp=0x80291e80 ra=0x8020cd1a
  #14 fp=0x80292000 ra=0x80200010
